id,name,lat,lng
1487,Dworkowa,52.329389,21.170250
1488,Serwitucka,52.338027,21.182800
1490,PKP Kobyłka,52.337075,21.214500
1491,Czereśniowa,52.323126,21.167134
1492,Leszyckiego,52.295032,21.111386
1493,Urząd Miasta,52.294029,21.113851
1494,Orla,52.291373,21.116853
1497,Kaflowa,52.322566,20.965385
1498,Płużnicka,52.310528,20.970316
1499,Kasztanowa,52.306512,20.974551
1500,Laurowa,52.302761,20.977806
1504,Szumiących Traw,52.309524,21.058531
1506,Wierna,52.272746,21.084797
1507,Tarchomin Kościelny,52.323845,20.942721
1510,Ojca Aniceta,52.307423,21.033885
1511,Pośrednia,52.309857,21.039833
1512,Porzeczkowa,52.314242,21.038141
1513,pl.Wolności,52.420232,21.034619
1514,Dębowa,52.361933,20.946050
1517,Lusińska,52.274207,21.050112
1519,Przejezdna,52.343116,21.046220
1520,Park Magiczny,52.312260,21.060198
1521,Śreniawitów,52.315917,20.966233
1522,Młyn Michla,52.256418,21.061437
1524,Sieczna,52.314086,21.066641
1525,Grodzisk-Kościół,52.320283,21.066541
1526,Szlachecka,52.311894,21.022450
1528,Niwa,52.281853,21.046494
1529,Przy Grodzisku,52.292259,21.056433
1530,Januszewicza,52.314983,21.178599
1533,Walewskiej,52.339252,21.114239
1534,Karłowicza,52.341968,21.108201
1535,Parkowa,52.344854,21.097910
1536,Kolonia Makówko,52.342758,21.097685
1537,Strefa Przemysłowa,52.335525,21.099610
1538,Okólna,52.331658,21.101964
1540,Struga-Kościół,52.361715,21.136688
1541,Bandurskiego I,52.325155,21.104209
1542,Bandurskiego II,52.327787,21.095752
1543,Hoovera,52.330089,21.092649
1544,Cmentarz Marki,52.332714,21.090056
1545,Jagiełły,52.322070,21.114021
1546,Sokola,52.320202,21.119620
1547,Wronia,52.317177,21.126017
1550,Boczna,52.410651,20.893220
1557,Podwójna,52.312523,21.065478
1558,Augustów,52.338695,21.067045
1559,Augustówek,52.341891,21.066588
1560,Warzelnicza-Szkoła,52.326505,21.039353
1561,Berensona-Kanał,52.325153,21.050447
1562,Metro Szwedzka,52.262541,21.044482
1565,Areszt Śledczy Białołęka,52.335999,21.008571
1566,Ogrody Przyjaciół,52.333690,21.018116
1567,Warmińska,52.329803,21.027390
1568,Słowackiego,52.411707,21.197553
1569,Przylesie,52.346096,20.955751
1571,Portowa,52.302210,20.981822
1574,Starego Dębu,52.347933,20.978459
1575,Koszalińska,52.279555,21.074642
1577,Perłowa,52.282692,21.083167
1582,Prymasa Wyszyńskiego,52.302772,21.158939
1583,Os.Poligon,52.302439,21.160310
1586,Długa,52.438569,20.850041
1587,Krótka,52.344799,21.216144
1589,os.Panieńska,52.248279,21.028187
1591,Sikorskiego,52.326282,21.196225
1593,Majdańska,52.325622,21.203633
1594,Nadarzyńska,52.326698,21.210715
1595,Orzeszkowej,52.325364,21.214699
1596,ks.Skorupki,52.323114,21.217217
1601,Stadion Narodowy,52.246644,21.042728
1602,Dw.Wileński,52.253537,21.035917
1603,Szwedzka,52.263329,21.044887
1604,Targówek Mieszkaniowy,52.268763,21.051213
1605,Trocka,52.274738,21.054385
1606,Zacisze,52.283210,21.062280
1607,Kondratowicza,52.291967,21.049636
1608,Bródno,52.293448,21.029795
1670,rondo WOŚP,52.402990,20.915099
1672,Wyzwolenia,52.291833,21.130333
1675,Wiosenna,52.369104,21.285181
1676,Cmentarz,52.374415,21.238859
1677,Orszagha-Tunel,52.332318,21.213296
1678,Przytorowa,52.362614,21.276232
1679,Sanktuarium Jana Pawła II,52.408254,21.204554
1680,P+R Radzymin,52.403515,21.195939
1684,Ruskowy Bród-Szkoła,52.344098,21.058491
1687,Pucciniego,52.342945,21.054955
1688,Os.Zielona Dolina,52.345702,21.054064
1689,Krzewna,52.272117,21.083372
1690,Olszowa,52.367284,21.304346
1693,Starorzecze,52.492383,21.131720
1694,Opolska,52.493488,21.146184
1696,PWiK,52.329403,21.260864
1697,Verdiego,52.340760,21.054638
1698,Mcs-Basen,52.289889,21.121389
1700,Szpital Powiatowy,52.345709,21.220435
1702,Szkolna,52.360871,21.166593
1705,Żymirskiego-Przychodnia,52.338634,21.199154
1706,Armii Krajowej,52.342446,21.222315
1707,PKP Kobyłka-Ossów,52.325040,21.190902
1708,Zalasek,52.355723,21.191857
1709,Radzymińska,52.348665,21.197784
1710,11 Listopada,52.340026,21.213203
1711,Chopina,52.333030,21.193646
1712,Kordeckiego,52.345443,21.182760
1713,Kościół,52.339291,21.193867
1714,Cmentarz,52.338116,21.204274
1715,Krasickiego,52.328048,21.217380
1717,Pionierska,52.344965,21.211295
1719,Magnolii,52.459597,20.950921
1720,Beniaminów,52.442330,21.107996
1721,Przemysłowa,52.430628,21.155341
1722,Kolonia Pod Lasem,52.425843,21.162570
1724,Maczka,52.410744,21.176844
1726,Magnolii,52.392104,21.147726
1727,Szkolna,52.395832,21.143397
1728,Ekologiczna,52.399080,21.135600
1729,Podbipięty,52.402391,21.124628
1730,Sobieskiego,52.405226,21.116581
1731,Rozwadowskiego,52.319983,21.189152
1732,Dąbrowskiego,52.316732,21.188806
1733,Kazimierza Odnowiciela,52.359370,21.178996
1734,Mała,52.348288,21.206260
1735,Hubala,52.315306,21.185151
1736,Wawrzyna,52.395783,21.165713
1738,Sasankowa,52.435896,21.147386
